id,name,position,year
2557,Mackenzie Fraser,Crew,23
2558,Emily Gildea,Crew,21
2559,Maguire Bennett,Crew,21
2560,Taylor Borges,Crew,22
2561,Annika Irene,Crew,23
2562,Darcy Lavoie,Crew,21
2563,Jaqueline Frode,Crew,22
2564,Molly Matthews,Crew,23
2565,Ian Coen,Crew,24
2566,Katie Coughlin,Crew,24
2567,Katharine Benagh,Crew,24
2568,Sage Walters,Crew,21
2569,Grace Woodcock,Crew,23
2570,Hank Bailey,Crew,24
2571,Arturo Ortega,Crew,22
2572,Sadie Thomas,Crew,25
2573,Emilia Marino,Crew,22
2574,Lucien Parker,Crew,24
2575,David Perez,Crew,21
2576,Josh Becker,Crew,24
2577,Makalynne Dyer,Crew,22
2578,Chris Robertson,Crew,23
2579,Abigail Tutt,Crew,21
2580,Myles Murphy,Crew,22
2581,Emily Harrison,Crew,21
2582,Caroline Bourgeois,Crew,22
2583,Jefferson Elkin,Crew,24
2584,Ian Slayter,Crew,24
2585,Mia Porter,Crew,22
2586,Lauren Theis,Crew,22
2587,Leonora Krajewski,Crew,23
2588,Charles Mason,Crew,23
2589,Ann Sheridan,Crew,22
2590,Caroline McNeil,Crew,22
2591,Lilly Mathieu,Crew,23
2592,Marta Munte,Crew,23
2593,Laurel Foster,Crew,22
2594,Grace Quasebarth,Crew,24
2595,Mia Quinlan,Crew,24
2596,Lauren O'Neill,Crew,24
2597,Christina Nothacker,Crew,21
2598,Gwendolyn Donahue,Crew,24
2599,Mary Persico,Crew,21
2600,Caitlin Abel,Crew,21
2601,Mary Tran,Crew,22
2602,AnaClare Sole,Crew,23
2603,Katelyn McGauley,Crew,24
2604,Rachel Holick,Crew,22
2605,Brian Nelson,Crew,21
2606,Charlotte Martinez,Crew,23
2607,Juliana Testa,Crew,21
2608,Alexandra Wagner,Crew,22
2609,Kensie Winton,Crew,23
2610,Laura Ferraris,Crew,22
2611,margaret benson,Crew,23
2612,Nicole Moeder,Crew,22
2613,Emma Batcher,Crew,22
2614,Alexandra Tillinghast,Crew,23
2615,Charlotte Williams,Crew,21
2616,Elizabeth Russell,Crew,21
2617,Cecilia Bohan,Crew,24
2618,Lucy Klempen,Crew,24
2619,Samantha Kappaz,Crew,21
2620,Isabella du Plessis,Crew,24
2621,Paige Berta,Crew,24
2622,Meghan Tilton,Crew,22
2623,Ryan Austin,Crew,22
2624,Brooke Cheatham,Crew,23
2625,Connor Teague,Crew,23
2626,Jason Makris,Crew,23
2627,Logan Brickhouse,Crew,21
2628,Olivia Gregg,Crew,22
2629,Carolina Perez Rovira,Crew,22
2630,Noelle Owen,Crew,23
2631,Katie Nelson,Crew,24
2632,Kingsland Bland,Crew,23
2633,Naomi Sterlingsdottir,Crew,22
2634,Madison Leslie,Crew,23
2635,Herminio Agront,Crew,22
2636,Angelina Khourisader,Crew,23
2637,Chris Kiener,Crew,21
2638,Annabelle Hutchinson,Crew,21
2639,Jin Johnson,Crew,23
2640,Emma Montgomery,Crew,22
2641,Jack Farrell,Crew,23
